id,type,subtype,name,rank,slash,crush,pierce,blaze,freeze,spark,divine,parent,skill,cost,prereq,materials
M-SB-121,Melee,Short Blade,Chevalier Blz II,10,0,0,429,1,0,0,0,M-SB-120,"Best Works IV, Polished Defense II",13600,M-SB-120,Blaze Knight Needle:2|Fine Lubricant:1|Blaze Knight Amethyst:1|Blaze Knight Shield:2|Blaze Knight Soft Steel:1
M-SB-122,Melee,Short Blade,Chevalier Blz N,11,0,0,446,1,0,0,0,M-SB-121,"Best Works IV, Polished Defense III",16000,M-SB-121,Fortifier:1|Blaze Knight Lance:1|Blaze Knight Ameethyst:1|Prince's Spirit:1|Prince's Thorn:1
M-SB-123,Melee,Short Blade,Blazing Chevalier EX,14,0,0,506,1,0,0,0,M-SB-122,"Best Works IV, Polished Defense IV",96000,M-SB-122,Generic Compound Core:1
M-SB-124,Melee,Short Blade,Cursed Blade,3,134,0,0,0,0,0,1,-,Full of Promise I,830,-,Yaksha Plate:1|Yaksha Fragment:1|Yaksha Helm:1
M-SB-125,Melee,Short Blade,Cursed Blade II,4,188,0,0,0,0,0,1,M-SB-124,Full of Promise II,2800,M-SB-124,Yaksha Plate:1|Yaksha Fragment:1|Yaksha Helm:1|Yaksha Thread:1
M-SB-126,Melee,Short Blade,Cursed Blade N,6,256,0,0,0,0,0,1,M-SB-125,Full of Promise III,4160,M-SB-125,Yaksha Plate:1|Yaksha Tile:1|Yaksha Helm:1|Yaksha Stock:1|Damascus Steel:1
M-SB-127,Melee,Short Blade,Cursed Blade X,8,337,0,0,0,0,0,1,M-SB-126,Full of Promise IV,8800,M-SB-126,Yaksha Cop:3|Yaksha Tile:2|Yaksha Horn:2|Yaksha Talon:2|Yaksha Strand:2
M-SB-128,Melee,Short Blade,Demon Blade,9,384,0,0,0,0,0,1,M-SB-127,"Full of Promise IV, Golden Flame I",9600,M-SB-127,Yaksha Spaulder:2|Yaksha Barrier:1|Yaksha Barrel:1|Yaksha Filament:1|Holy Jewel Steel:1
M-SB-129,Melee,Short Blade,Demon Blade II,12,461,0,0,0,0,0,1,M-SB-128,"Full of Promise IV, Golden Flame II",40800,M-SB-128,Yaksha Shredder:2|Yaksha Tusk:2|Conqueror Steel:2|Ultra-Pure Mistle:1|Mana Orb:1
M-SB-130,Melee,Short Blade,Demon Blade N,13,489,0,0,0,0,0,1,M-SB-129,"Full of Promise IV, Golden Flame III",52000,M-SB-129,Yaksha Shredder:2|Yaksha Spaulder:2|Conqueror Crown:2|Prince's Steel:1|Mana Orb:1
M-SB-131,Melee,Short Blade,Demon Blade EX,14,506,0,0,0,0,0,1,M-SB-130,"Full of Promise IV, Golden Flame IV",96000,M-SB-130,Generic Compound Core:1
M-SB-132,Melee,Short Blade,Gem Sword: Xi Shi,3,41,0,96,0,0,0,1,-,Harvester I,830,-,Silver:1|Impure Liniment:1|Vermillion Piece:1
M-SB-133,Melee,Short Blade,Gem Sword: Xi Shi II,5,68,0,159,0,0,0,1,M-SB-132,Harvester II,3360,M-SB-132,Raven Wing:2|Draconic Redstone:2|Mana Stone:1|Angel Armor:1
M-SB-134,Melee,Short Blade,Gem Sword: Zhaojun,6,78,0,183,0,0,0,1,M-SB-133,Harvester III,4160,M-SB-133,Hanuman Redstone:1|Mistle:1|Oil:1|Mahogany Branch:1|Fossil Tree:1
M-SB-135,Melee,Short Blade,Gem Sword: Zhaojun II,7,94,0,221,0,0,0,1,M-SB-134,Harvester IV,7760,M-SB-134,Garuda Crown:1|Vermillion:1|Pure Damascus:1|Mithril Silver:1|Prince's Thorn:1
M-SB-136,Melee,Short Blade,Gem Sword: Diao,9,117,0,275,0,0,0,1,M-SB-135,"Harvester IV, Gran Suerte I",9600,M-SB-135,Chaotic Lichen:1|Yin-Yang Carver:1|Mana Crystal:1|Prince's Thorn:1|Pure Oil:1
M-SB-137,Melee,Short Blade,Gem Sword: Diao II,11,136,0,319,0,0,0,1,M-SB-136,"Harvester IV, Gran Suerte II",16000,M-SB-136,Yin-Yang Ingot:2|Yin-Yang Raiment:1|Yin-Yang Carver:1|Mana Crystal:1|Pure Soft Iron:1
M-SB-138,Melee,Short Blade,Gem Sword: Diao N,13,149,0,350,0,0,0,1,M-SB-137,"Harvester IV, Gran Suerte III",52000,M-SB-137,Garuda Edge:1|Yin-Yang Crown:1|Yin-Yang Sickle:1|Yin-Yang Scarf:1|Ultra-Pure Mistle:1
M-SB-139,Melee,Short Blade,Gem Sword: Diao EX,14,154,0,362,0,0,0,1,M-SB-138,"Harvester IV, Gran Suerte IV",96000,M-SB-138,Generic Compound Core:1
M-SB-140,Melee,Short Blade,Rigoletto,4,113,0,75,0,0,0,1,-,Jambes d'Or I,3500,-,Goddess Plumage:1|Goddess Husk:1|Goddess Filigree:1|Goddess Redstone:1
M-SB-141,Melee,Short Blade,Rigoletto II,5,140,0,93,0,0,0,1,M-SB-140,Jambes d'Or II,3360,M-SB-140,Goddess Plumage:1|Goddess Husk:1|Goddess Filigree:1|Goddess Toxin:1|Jewel Steel:1
M-SB-142,Melee,Short Blade,Rigoletto N,6,162,0,108,0,0,0,1,M-SB-141,Jambes d'Or III,4160,M-SB-141,Goddess Plumage:1|Goddess Husk:1|Goddess Filigree:1|Goddess Toxin:1|Goddess Redstone:1
M-SB-143,Melee,Short Blade,Rigoletto X,8,213,0,142,0,0,0,1,M-SB-142,Jambes d'Or IV,8800,M-SB-142,Goddess Quill:1|Goddess Rind:1|Diablo Eye:1|Diablo Plumage:1|Diablo Feather:1
M-SB-144,Melee,Short Blade,Trovatore,10,271,0,181,0,0,0,1,M-SB-143,"Jambes d'Or IV, Rosa College I",13600,M-SB-143,Goddess Quill:2|Goddess Rind:2|Goddess Redstone:1|Diablo Wing:2|Diablo Cloak:1
M-SB-145,Melee,Short Blade,Trovatore II,13,309,0,206,0,0,0,1,M-SB-144,"Jambes d'Or IV, Rosa College II",52000,M-SB-144,Goddess Quill:2|Goddess Crown:2|Goddess Bane:1|Diablo High Crown:1|Diablo Wing:1
M-SB-146,Melee,Short Blade,Trovatore EX,14,320,0,213,0,0,0,1,M-SB-145,"Jambes d'Or IV, Rosa College III",96000,M-SB-145,Generic Compound Core:1
M-SB-147,Melee,Short Blade,Toxic Pickaxe,4,73,0,109,0,0,0,0,-,Digitalis I,3500,-,Goddess Filigree:1|Goddess Husk:1|Tainted Metal:1|Ash:1
M-SB-148,Melee,Short Blade,Toxic Pickaxe II,6,105,0,156,0,0,0,0,M-SB-147,Digitalis II,4160,M-SB-147,Goddess Filigree:1|Goddess Husk:1|Goddess Toxin:1|Jewel Steel:1|Draconic Redstone:1
M-SB-149,Melee,Short Blade,Toxic Pickaxe N,7,127,0,188,0,0,0,0,M-SB-148,Digitalis III,7760,M-SB-148,Chaotic Claw:1|Goddess Redstone:1|Chaotic Moss:1|Meteorite Sliver:1|Soft Iron:1
M-SB-150,Melee,Short Blade,Toxic Pickaxe X,9,158,0,234,0,0,0,0,M-SB-149,Digitalis IV,9600,M-SB-149,Goddess Crown:1|Goddess Rind:1|Goddess Venom:1|Pure Soft Iron:1|Witch Redstone:1
M-SB-151,Melee,Short Blade,Despair Pickaxe,12,189,0,281,0,0,0,0,M-SB-150,"Digitalis IV, Splitting Wedge I",40800,M-SB-150,Abyssal Claw:1|Goddess Redstone:1|Chaotic Lichen:1|Holy Jewel Steel:1|Venom Metal:1
M-SB-152,Melee,Short Blade,Despair Pickaxe II,13,201,0,299,0,0,0,0,M-SB-151,"Digitalis IV, Splitting Wedge II",52000,M-SB-151,Goddess Crown:1|Goddess Rind:2|Goddess Bane:1|Holy Jewel Steel:1|Adamantite:1
M-SB-153,Melee,Short Blade,Despair Pickaxe EX,14,208,0,309,0,0,0,0,M-SB-152,"Digitalis IV, Splitting Wedge III",96000,M-SB-152,Generic Compound Core:1
M-SB-154,Melee,Short Blade,Wild Sword: Yin,5,66,0,154,0,0,1,0,-,To the Luminous I,4200,-,Avian Limb:1|Avian Flesh:1|Jewel Steel:1|Quickener:1
M-SB-155,Melee,Short Blade,Wild Sword: Yin II,6,78,0,183,0,0,1,0,M-SB-154,To the Luminous II,4160,M-SB-154,Raven Wing:1|Avian Talon:1|Raven Mask:1|Poison Metal:1|Avian Mask:1
M-SB-156,Melee,Short Blade,Wild Sword: Yin N,7,94,0,221,0,0,1,0,M-SB-155,To the Luminous III,7760,M-SB-155,Avian Flyer:1|Quickener:1|Pure Jewel Steel:1|Conductor:1|Raven Wing:1
M-SB-157,Melee,Short Blade,Wild Sword: Shaoyang,10,131,0,307,0,0,1,0,M-SB-156,To the Luminous IV,13600,M-SB-156,Raven Spark Wing:1|Raven Mask:1|Avian Sinew:1|Avian Talon:1|Venom Metal:1
M-SB-158,Melee,Short Blade,Wild Sword: Shaoyang+,11,136,0,319,0,0,1,0,M-SB-157,"To the Luminous IV, Breakback I",16000,M-SB-157,Avian Flyer:1|Raven Spark Wing:1|Raven Spark Mask:1|Super Conductor:1|Holy Jewel Steel:1
M-SB-159,Melee,Short Blade,Wild Sword: Shaoyang N,13,149,0,350,0,0,1,0,M-SB-158,"To the Luminous IV, Breakback II",52000,M-SB-158,Raven Storm Wing:1|Raven Storm Bone:1|Swiftener:1|Super Conductor:1|Super Poison Metal:1
M-SB-160,Melee,Short Blade,Wild Sword: Shaoyang EX,14,154,0,362,0,0,1,0,M-SB-159,"To the Luminous IV, Breakback III",96000,M-SB-159,Generic Compound Core:1
M-SB-161,Melee,Short Blade,Bestie Dolch,6,178,0,76,0,0,1,1,-,Main Dish I,5200,-,Emperor Skull:2|Emperor Mane:3|Emperor Claw:1|Emperor Fang:2|Damascus Steel:1
M-SB-162,Melee,Short Blade,Bestie Dolch II,7,221,0,94,0,0,1,1,M-SB-161,Main Dish II,7760,M-SB-161,Emperor Skull:2|Emperor Wing:3|Emperor Fang:2|Emperor Claw:1|Pure Damascus:1
M-SB-163,Melee,Short Blade,Bestie Dolch N,9,275,0,117,0,0,1,1,M-SB-162,Main Dish III,9600,M-SB-162,Emperor Mane:2|Imperial Wing:1|Imperial Claw:1|Emperor Redstone:1|Pure Damascus:1
M-SB-164,Melee,Short Blade,Teufel Dolch,10,307,0,131,0,0,1,1,M-SB-163,"Main Dish III, Great Devourer I",13600,M-SB-163,Emperor Mane:2|Emperor wing:2|Imperial Claw:1|Imperial Crown:1|Orichalcum:1
M-SB-165,Melee,Short Blade,Teufel Dolch II,12,330,0,141,0,0,1,1,M-SB-164,"Main Dish III, Great Devourer II",40800,M-SB-164,Emperor Mane:2|Emperor Claw:2|Thunder Ogre Horn:1|Imperial Crown:1|Orichalcum:1
M-SB-166,Melee,Short Blade,Teufel Dolch N,13,350,0,149,0,0,1,1,M-SB-165,"Main Dish III, Great Devourer III",52000,M-SB-165,Emperor Pelt:3|Imperial Claw:2|Emperor Incisor:2|Emperor Amethyst:1|Mana Orb:2
M-SB-167,Melee,Short Blade,Teufel Dolch EX,14,362,0,154,0,0,1,1,M-SB-166,"Main Dish III, Great Devourer IV",96000,M-SB-166,Generic Compound Core:1
M-SB-168,Melee,Short Blade,Serpent Dagger,7,88,0,210,2,0,0,0,-,Major Step I,9700,-,Serpent Armor:3|Serpent Soft Iron:2|Serpent Fang:2|Serpent Horn:2|Serpent Cataphract:1
M-SB-169,Melee,Short Blade,Serpent Dagger II,8,99,0,237,2,0,0,0,M-SB-168,Major Step II,8800,M-SB-168,Serpent Cataphract:2|Serpent Horn:1|Serpent Fang:1|Cinder Crystal:1|Serpent Armor:1
M-SB-170,Melee,Short Blade,Serpent Dagger N,10,126,0,302,2,0,0,0,M-SB-169,Major Step III,13600,M-SB-169,Serpent Armor:1|Serpent Soft Iron:1|Serpent Blaze Fang:1|Serpent Blaze Horn:1|Orichalcum:1
M-SB-171,Melee,Short Blade,Serpent Dagger X,11,131,0,314,2,0,0,0,M-SB-170,"Major Step III, Polished Evasion I",16000,M-SB-170,Serpent Soft Iron:1|Serpent Blaze Horn:1|Serpent Blaze Fang:1|Flaming Crystal:1|Adamantite:1
M-SB-172,Melee,Short Blade,Serpent Dagger V,13,144,0,345,2,0,0,0,M-SB-171,"Major Step III, Polished Evasion II",52000,M-SB-171,Serpent Carapace:1|Serpent Soft Steel:1|Serpent Blaze Horn:1|Flaming Crystal:1|Serpent Ambrosia:1
M-SB-173,Melee,Short Blade,Serpent Dagger EX,14,149,0,357,2,0,0,0,M-SB-172,"Major Step III, Polished Evasion III",96000,M-SB-172,Generic Compound Core:1
M-SB-174,Melee,Short Blade,Phantom Dagger,10,126,0,302,1,0,0,1,M-SB-169,Major Step III,13600,M-SB-169,Phantom Armor:1|Phantom Cataphract:1|Phantom Horn:1|Phantom Helm:1|Seraphic Crystal:1
M-SB-175,Melee,Short Blade,Phantom Dagger II,11,131,0,314,1,0,0,1,M-SB-174,"Major Step III, Polished Evasion I",16000,M-SB-174,Phantom Incisor:1|Phantom Armor:1|Phantom Helm:1|Phantom Ambrosia:1|Orichalcum:1
M-SB-176,Melee,Short Blade,Phantom Dagger N,13,144,0,345,1,0,0,1,M-SB-175,"Major Step III, Polished Evasion II",52000,M-SB-175,Phantom Armor:1|Phantom Arm Gauntlet:1|Phantom Lance:1|Phantom Helm:1|Tungsten Superalloy:1
M-SB-177,Melee,Short Blade,Phantom Dagger EX,14,149,0,357,1,0,0,1,M-SB-176,"Major Step III, Polished Evasion III",96000,M-SB-176,Generic Compound Core:1
M-SB-178,Melee,Short Blade,Wild Sword: Laoyin,7,91,0,213,0,0,0,1,-,To the Luminous III,9700,-,Garuda Wing:1|Garuda Bone:1|Avian Cover:1|Avian Sinew:1|Swiftener:1
M-SB-179,Melee,Short Blade,Wild Sword: Laoyin II,8,103,0,241,0,0,0,1,M-SB-178,To the Luminous IV,8800,M-SB-178,Garuda Blade:1|Garuda Talon:1|Helios Carver:1|Helios Halo:1|Venom Metal:1
M-SB-180,Melee,Short Blade,Wild Sword: Laoyin N,9,117,0,275,0,0,0,1,M-SB-179,"To the Luminous IV, Breakback I",9600,M-SB-179,Garuda Wing:2|Swiftener:1|Yin-Yang Carver:1|Yin-Yang Sash:1|Holy Jewel Steel:1
M-SB-181,Melee,Short Blade,Wild Sword: Laoyin X,12,141,0,330,0,0,0,1,M-SB-180,"To the Luminous IV, Breakback II",40800,M-SB-180,Phoenix Talon:1|Garuda Edge:1|Yin-Yang Carver:1|Yin-Yang Ingot:1|Ultra-Pure Mistle:1
M-SB-182,Melee,Short Blade,Wild Sword: Laoyin EX,14,154,0,362,0,0,0,1,M-SB-181,"To the Luminous IV, Breakback III",96000,M-SB-181,Generic Compound Core:1
M-SB-183,Melee,Short Blade,Traviata,7,182,0,122,0,0,0,0,-,Venom Leap II,9700,-,Witch Quill:1|Witch Wing:1|Goddess Husk:1|Goddess Venom:1|Goddess Filigree:1
M-SB-184,Melee,Short Blade,Traviata II,8,206,0,138,0,0,0,0,M-SB-183,Venom Leap III,8800,M-SB-183,Witch Redstone:1|Witch Crown:1|Witch Wing:1|Witch Quill:1|Mana Crystal:1
M-SB-185,Melee,Short Blade,Traviata N,10,262,0,176,0,0,0,0,M-SB-184,Venom Leap IV,13600,M-SB-184,Witch Feathering:1|Goddess Redstone:1|Goddess Rind:1|Witch Quill:1|Witch Crown:1
M-SB-186,Melee,Short Blade,Traviata X,11,272,0,183,0,0,0,0,M-SB-185,"Venom Leap IV, Burst Aid I",16000,M-SB-185,Witch Amethyst:1|Witch Feathering:1|Withc Quill:1|Goddess Rind:1|Adamantite:1
M-SB-187,Melee,Short Blade,Traviata V,13,299,0,201,0,0,0,0,M-SB-186,"Venom Leap IV, Burst Aid II",52000,M-SB-186,Witch Gown:1|Witch Gaze:1|Witch Diadem:1|Goddess Quill:1|Goddess Crown:1
M-SB-188,Melee,Short Blade,Traviata EX,14,309,0,208,0,0,0,0,M-SB-187,"Venom Leap IV, Burst Aid III",96000,M-SB-187,Generic Compound Core:1
M-SB-189,Melee,Short Blade,Scorching Knife,7,194,0,129,1,0,0,0,-,Disorder I,9700,-,Yaksha Stock:1|Yaksha Tile:1|Blaze Knight Armor:1|Blaze Knight Redstone:1|Infernal Ogre Cowl:1
M-SB-190,Melee,Short Blade,Searing Knife,11,291,0,192,1,0,0,0,M-SB-189,Disorder II,16000,M-SB-189,Yaksha Talon:1|Yaksha Incisor:1|Blaze Knight Amethyst:1|Serpent Soft Iron:1|Serpent Cataphract:1
M-SB-191,Melee,Short Blade,Searing Knife II,12,301,0,199,1,0,0,0,M-SB-190,Disorder III,40800,M-SB-190,Yaksha Tusk:1|Blaze Knight Lance:2|Blaze Knight Amethyst:1|Serpent Blaze Horn:1|Holy Serpent Guard:1
M-SB-192,Melee,Short Blade,Wrought Iron,14,0,0,218,1,0,0,0,M-SB-191,Disorder IV,96000,M-SB-191,Generic Compound Core:1
M-SB-193,Melee,Short Blade,Oracle Sword,10,0,0,0,0,0,0,0,-,Bayoneteer,17000,-,Oracle Blaze Stone:1|Oracle Freeze Stone:1|Oracle Spark Stone:1|Mithril Silver:1|Philosopher's Stone:1
M-SB-194,Melee,Short Blade,Oracle Sword II,12,0,0,0,0,0,0,0,M-SB-193,"Bayoneteer, Low Calorie I",40800,M-SB-193,Oracle Blaze Stone:1|Oracle Freeze Crystal:1|Oracle Spark Crystal:1|Orichalcum:1|Ultra-Pure Mistle:1
M-SB-195,Melee,Short Blade,Oracle Sword EX,14,0,0,0,0,0,0,0,M-SB-194,"Bayoneteer, Low Calorie II",96000,M-SB-194,Generic Compound Core:1
M-SB-196,Melee,Short Blade,Azure Dragon Blade,10,411,0,0,0,1,0,1,-,Catch the Way I,17000,-,Pure Oil:1|Diablo Crown:1|Diablo Wing:1|Ice Wyrm Fang:1|Basilisk Ice Armor:2
M-SB-197,Melee,Short Blade,Azure Dragon Blade II,12,451,0,0,0,1,0,1,M-SB-196,Catch The Way II,40800,M-SB-196,Ultra-Pure Oil:1|Diablo High Crown:1|Diablo Wing:1|Ice Wyrm Fang:1|Basilisk Arctic Armor:1
M-SB-198,Melee,Short Blade,Azure Dragon Blade EX,14,495,0,0,0,1,0,1,M-SB-197,Catch the Way III,96000,M-SB-197,Generic Compound Core:1
M-SB-199,Melee,Short Blade,Vermillion Bird Blade,10,411,0,0,1,0,0,1,-,Catch the Way I,17000,-,Pure Oil:1|Ares Alloy:1|King Sensor:1|Serpent Soft Iron:1|Serpent Blaze Helm:1
M-SB-200,Melee,Short Blade,Vermillion Bird Blade II,12,451,0,0,1,0,0,1,M-SB-199,Catch the Way II,40800,M-SB-199,Ultra-Pure Oil:1|Ares Alloy:2|King Sensor:1|Flame Nail:1|Flame Shell:2
M-SB-201,Melee,Short Blade,Vermillion Bird Blade EX,14,495,0,0,1,0,0,1,M-SB-199,Catch the Way III,96000,M-SB-199,Generic Compound Core:1
M-SB-202,Melee,Short Blade,White Tiger Blade,10,411,0,0,0,0,1,1,-,Catch the Way I,17000,-,Pure Oil:1|Chimera Spark Fang:1|Volt Generator:1|Hanuman Femur:1|Howler Plumage:1
M-SB-203,Melee,Short Blade,White Tiger Blade II,12,451,0,0,0,0,1,1,M-SB-202,Catch the Way II,40800,M-SB-202,Ultra-Pure Oil:1|Chimera Spark Claw:1|Volt Generator:1|Hanuman Femur:2|Hanuman Spark Armor:1
M-SB-204,Melee,Short Blade,White Tiger Blade EX,14,495,0,0,0,0,1,1,M-SB-203,Catch the Way III,96000,M-SB-203,Generic Compound Core:1
M-SB-205,Melee,Short Blade,Black Tortoise Blade,10,411,0,0,0,0,0,2,-,Catch the Way I,17000,-,Pure Oil:1|Imperial Claw:1|Emperor Redstone:1|Conqueror Armor:1|Conqueror Grease:1
M-SB-206,Melee,Short Blade,Black Tortoise Blade II,12,451,0,0,0,0,0,2,M-SB-205,Catch the Way II,40800,M-SB-205,Ultra-Pure Oil:1|Simian Power armor:1|Basilisk Amethyst:1|Conqueror Steel:1|Conqueror Grease:1
M-SB-207,Melee,Short Blade,Black Tortoise Blade EX,14,495,0,0,0,0,0,2,M-SB-206,Catch the Way III,96000,M-SB-206,Generic Compound Core:1
M-SB-208,Melee,Short Blade,Rune Edge: Haglaz,10,62,0,362,0,0,1,0,-,Extra Length I,17000,-,Oracle spark Stone:1|Imperial Claw:1|Imperial Crown:1|Hanuman Femur:1|Hanuman Spark Armor:1
M-SB-209,Melee,Short Blade,Rune Edge: Haglaz II,11,66,0,385,0,0,1,0,M-SB-208,Extra Length II,16000,M-SB-208,Thunder Ogre Horn:1|Imperial Crown:1|Hanuman Spark Armor:1|Hanuman Femur:2|Hanuman Mask:1
M-SB-210,Melee,Short Blade,Rune Edge: Haglaz N,13,72,0,422,0,0,1,0,M-SB-209,"Extra Length II, Antibody I",52000,M-SB-209,emperor Incisor:1|Imperial Crown:1|Hanuman Forcefield:1|Hanuman Femur:2|hanuman Cowl:1
M-SB-211,Melee,Short Blade,Rune Edge: Haglaz EX,14,75,0,437,0,0,1,0,M-SB-210,"Extra Length II, Antibody II",96000,M-SB-210,Generic Compound Core:1
M-SB-212,Melee,Short Blade,Rune Edge: Kaunan,10,62,0,362,1,0,0,0,-,Extra Length I,17000,-,Oracle Blaze Stone:1|Serpent Soft Iron:1|Flaming Crystal:1|Phoenix Wing:1|Phoenix Bone:2
M-SB-213,Melee,Short Blade,Rune Edge: Kaunan II,11,66,0,385,1,0,0,0,M-SB-212,Extra Length II,16000,M-SB-212,Serpent Blaze Horn:1|Serpent Blaze Fang:1|Flaming Crystal:1|Phoenix Claw:1|Garuda Blade:1
M-SB-214,Melee,Short Blade,Rune Edge: Kaunan N,12,68,0,398,1,0,0,0,M-SB-213,"Extra Length II, Antibody I",40800,M-SB-213,Flame Tusk:1|Serpent Blaze Fang:1|Flaming Crystal:1|Phoenix Claw:1|Goddess Crown:1
M-SB-215,Melee,Short Blade,Rune Edge: Kaunan EX,14,75,0,437,1,0,0,0,M-SB-214,"Extra Length II, Antibody II",96000,M-SB-214,Generic Compound Core:1
M-SB-216,Melee,Short Blade,Rune Edge: Isaz,10,62,0,362,0,1,0,0,-,Extra Length I,17000,-,Oracle Freeze Stone:1|Royal Ice Wing:2|Empress Wreath:1|Boreas Rumbler:1|Ice King Armor:2
M-SB-217,Melee,Short Blade,Rune Edge: Isaz II,11,66,0,385,0,1,0,0,M-SB-216,Extra Length II,16000,M-SB-216,Empress Fang:1|Empress Wreath:1|Wukong Armor+:1|Boreas Rumbler:2|Ice King Gun:1
M-SB-218,Melee,Short Blade,Rune Edge: Isaz N,13,72,0,422,0,1,0,0,M-SB-217,"Extra Length II, Antibody I",52000,M-SB-217,Royal Frame:1|Empress Wreath:1|Wukong Power Armor:1|Boreas Rumbler:2|Ice King Armor:1
M-SB-219,Melee,Short Blade,Rune Edge: Isaz EX,14,75,0,437,0,1,0,0,M-SB-218,"Extra Length II, Antibody II",96000,M-SB-218,Generic Compound Core:1
M-SB-220,Melee,Short Blade,Rune Edge: Dagaz,10,62,0,362,0,0,0,1,-,Extra Length I,17000,-,Oracle Lucent Stone:1|Phantom Armor:2|Phantom Helm:1|Phantom Incisor:1|Phantom Ambrosia:1
M-SB-221,Melee,Short Blade,Rune Edge: Dagaz II,12,68,0,398,0,0,0,1,M-SB-220,Extra Length II,40800,M-SB-220,Phantom Incisor:1|Yaksha Talon:1|Phantom Helm:1|Phantom Cataphract:1|Phantom Ambrosia:1
M-SB-222,Melee,Short Blade,Rune Edge: Dagaz EX,14,75,0,437,0,0,0,1,M-SB-221,"Extra Length II, Antibody II",96000,M-SB-221,Generic Compound Core:1
M-SB-223,Melee,Short Blade,Phantom Piercer,11,70,0,382,0,1,0,1,-,Ambush Mastery I,20000,-,Simian Pharynx:1|Hanuman Amethyst:1|Serpent Blaze Helm:1|Holy Serpent Guard:1|Serpent Ambrosia:1
M-SB-224,Melee,Short Blade,Phantom Piercer II,12,73,0,398,0,1,0,1,M-SB-223,Ambush Mastery II,40800,M-SB-223,Boreas Rumbler:2|Wukong Amethyst:1|Phantom Cataphract:1|Phantom Incisor:1|Phantom Ambrosia:1
M-SB-225,Melee,Short Blade,Phantom Piercer EX,14,80,0,437,0,1,0,1,M-SB-224,Ambush Mastery III,96000,M-SB-224,Generic Compound Core:1
M-SB-226,Melee,Short Blade,Claudia,13,407,0,71,0,2,0,0,-,Liberator I,65000,-,Bahamut Helm:2|Bahamut Blue Mail:1|Bahamut Sky Fang:1|Boreal Stone:1|Oracle Freeze Crystal:1
M-SB-227,Melee,Short Blade,Claudia EX,14,426,0,75,0,2,0,0,M-SB-226,Liberator II,96000,M-SB-226,Generic Compound Core:1
M-SB-228,Melee,Short Blade,Wyvern Dagger,13,142,0,341,0,0,0,1,-,Major Step III,65000,-,Wyvern Soft Steel:1|Wyvern Gauntlet:1|Wyvern Horn:1|Wyvern Fang:1|Wyvern Ambrosia:1
M-SB-229,Melee,Short Blade,Wyvern Dagger EX,14,149,0,347,0,0,0,1,M-SB-228,"Major step III, Polished Evasion III",96000,M-SB-228,Generic Compound Core:1
M-SB-230,Melee,Short Blade,Superbia,14,360,0,153,0,0,0,2,-,"Great Devourer IV, Far East Champion",120000,-,Hades Crown:1|Hades Fang:1|Hades Wing:1|Hades Claw:1|Hades Redstone:1
M-LB-001,Melee,Long Blade,Blade P,0,97,0,0,0,0,0,0,-,Blade Wielder I,350,-,Ogre Fang:1|Brittle Titanium:1
M-LB-002,Melee,Long Blade,Blade,1,99,0,0,0,0,0,0,M-LB-001,Blade Wielder II,280,M-LB-001,Ogre Fang:1|Brittle Titanium:1
M-LB-003,Melee,Long Blade,Blade II,4,225,0,0,0,0,0,0,M-LB-002,Blade Wielder V,2800,M-LB-002,Ogre Fang:1|Ogre Sharp Tail:1|King Steel:1|Titanium:1
M-LB-004,Melee,Long Blade,Blade N,6,306,0,0,0,0,0,0,M-LB-003,Blade Wielder VI,4160,M-LB-003,Ogre Sharp Helm:1|Knight Needle:1|Knight Shield:1|Tungsten:1|Mithril Silver:1
M-LB-005,Melee,Long Blade,Blade X,10,513,0,0,0,0,0,0,M-LB-004,"Blade Wielder VI, Long Blade MAster II",13600,M-LB-004,Ogre Halberd:1|Knight Armor:1|Ares Alloy:1|Ares Armor:1|Pure Soft Iron:1
M-LB-006,Melee,Long Blade,Blade V,13,585,0,0,0,0,0,0,M-LB-005,"Blade Wielder VI, Long Blade Master III",52000,M-LB-005,Prince's Steel:1|Prince's Sand:1|Ares Alloy:1|Cemented Carbide:1|Pure Damascus:1
M-LB-007,Melee,Long Blade,Blade EX,14,605,0,0,0,0,0,0,M-LB-006,"Blade Wielder VI, Long Blade Master IV",96000,M-LB-006,Generic Compound Core:1
M-LB-008,Melee,Long Blade,Railblade,7,362,0,0,1,0,1,0,M-LB-004,Blade Wielder VI,7760,M-LB-004,Avian Tendon:1|Raven Wing:1|Spark Knight Prickle:1|Niobium:1|Chaotic Claw:1
M-LB-009,Melee,Long Blade,Railblade II,8,395,0,0,1,0,1,0,M-LB-008,"Blade Wielder VI, Long Blade Master I",8800,M-LB-008,Anathema Raiment:1|Anathema Frame:1|High Conductor:1|Emperor Limb:1|Strong Magnet:1
M-LB-010,Melee,Long Blade,Railblade N,10,503,0,0,1,0,1,0,M-LB-009,"Blade Wielder VI, Long Blade Master II",13600,M-LB-009,Helios Carver:1|Helios Sash:1|High Conductor:1|Cemented Carbide:1|Pure Silver:1
M-LB-011,Melee,Long Blade,Railblade X,12,540,0,0,1,0,1,0,M-LB-010,"Blade Wielder VI, Long Blade Master III",40800,M-LB-010,Spark Knight God Needle:1|Spakr Knight Steel:1|High Conductor:1|Detonator:2|Oracle Spark Crystal:1
